trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
109,False,"{'a': 0.5, 'e': 0.8293098328631502}",30,0,-144.21469848297096,"{0: 19, 1: 2, 2: 5, 3: 3, 4: 1}",0
110,False,"{'a': 0.5, 'e': 0.4598901070131037}",20,1,-51.09869200281668,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 1}",1
111,False,"{'a': 0.5, 'e': 0.022126756261955736}",20,10,-16.1804091102432,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.49872621790648564}",20,0,-177.37726658546183,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 4}",0
113,False,"{'a': 0.5, 'e': 0.8532201077225842}",25,0,-165.57479662754685,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
114,False,"{'a': 0.5, 'e': 0.9988159580766447}",20,0,-207.27097997464497,"{0: 8, 1: 3, 2: 4, 3: 2, 4: 3}",0
115,False,"{'a': 0.5, 'e': 0.8998668269691937}",20,0,-112.39801792580347,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
116,False,"{'a': 0.5, 'e': 0.580598912666927}",25,0,-65.01913501278308,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
117,False,"{'a': 0.5, 'e': 0.11918013544881928}",20,0,31.964386898393315,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
118,False,"{'a': 0.5, 'e': 0.37141809547969407}",30,8,-114.6644196111424,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 2}",1
119,False,"{'a': 0.5, 'e': 0.7710802229758452}",20,0,-34.89699760437341,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
120,False,"{'a': 0.5, 'e': 0.9819550195245901}",30,0,-38.0929339441112,"{0: 23, 1: 2, 2: 4, 3: 1, 4: 0}",0
121,False,"{'a': 0.5, 'e': 0.9524129804151563}",25,0,-237.08862048337687,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 5}",0
122,False,"{'a': 0.5, 'e': 0.6896870271361664}",25,0,-188.4798965157337,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 5}",0
123,False,"{'a': 0.5, 'e': 0.25810163593826746}",25,7,-39.01681232789411,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
124,False,"{'a': 0.5, 'e': 0.23667603734656428}",35,13,27.332120099867144,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.6735071623235862}",20,11,-62.01137116985779,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 1}",1
126,False,"{'a': 0.5, 'e': 0.9454402445803316}",25,0,-139.9950116663387,"{0: 12, 1: 2, 2: 10, 3: 0, 4: 1}",0
127,False,"{'a': 0.5, 'e': 0.9858965815825497}",25,0,-149.1646016792979,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
128,False,"{'a': 0.5, 'e': 0.784971051068018}",20,9,-25.653146774002305,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
129,False,"{'a': 0.5, 'e': 0.39185723042955}",35,0,-75.17182660928174,"{0: 28, 1: 3, 2: 2, 3: 0, 4: 2}",0
130,False,"{'a': 0.5, 'e': 0.0971969067167568}",30,8,14.236095682092374,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.562453851238172}",20,0,-173.22765393997568,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 4}",1
132,False,"{'a': 0.5, 'e': 0.8900024767126464}",20,0,-86.40337832788549,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
133,False,"{'a': 0.5, 'e': 0.99964745596635}",25,0,-102.12906166512347,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
134,False,"{'a': 0.5, 'e': 0.8645438740756395}",25,3,-208.41051994595418,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 4}",1
135,False,"{'a': 0.5, 'e': 0.5177697997895051}",20,4,0.8654617869062686,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.04422762066183892}",20,9,17.96230177665661,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.4401430224960407}",25,17,3.5350307750791234,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.8167513032223336}",20,14,5.348752253145656,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.9933903797222716}",25,0,-72.43112420594535,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
140,False,"{'a': 0.5, 'e': 0.926812845565509}",20,0,-85.01778379459752,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
141,False,"{'a': 0.5, 'e': 0.6333192030862999}",20,12,-39.90829902449086,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
142,False,"{'a': 0.5, 'e': 0.18476693191217952}",25,0,-3.4043888040948453,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
143,False,"{'a': 0.5, 'e': 0.3090227281660707}",30,18,-23.30386466821242,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
144,False,"{'a': 0.5, 'e': 0.7271528468448446}",35,9,-109.69557973819016,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 2}",1
145,False,"{'a': 0.5, 'e': 0.9672505882738824}",20,0,-151.90720549283216,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
146,False,"{'a': 0.5, 'e': 0.9705316516498831}",30,0,-88.19633021751056,"{0: 19, 1: 3, 2: 6, 3: 2, 4: 0}",0
147,False,"{'a': 0.5, 'e': 0.7361927182273159}",30,0,-26.098380940402006,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
148,False,"{'a': 0.5, 'e': 0.32160813176404734}",25,17,13.091055389333498,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.17171734183077755}",20,6,13.446556634522592,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.6230004212937645}",25,0,-15.082621277178069,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
151,False,"{'a': 0.5, 'e': 0.9217512697247493}",35,0,-201.40373945911634,"{0: 23, 1: 2, 2: 4, 3: 3, 4: 3}",0
152,False,"{'a': 0.5, 'e': 0.9948252601277343}",30,0,-38.64324178431509,"{0: 23, 1: 1, 2: 6, 3: 0, 4: 0}",0
153,False,"{'a': 0.5, 'e': 0.8243313311075577}",20,0,-74.52391274743323,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
154,False,"{'a': 0.5, 'e': 0.45201234267200896}",20,16,6.331070706763942,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.03097503173121646}",35,5,36.29010463585281,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.506378638074642}",30,19,-57.331939509419136,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
157,False,"{'a': 0.5, 'e': 0.8578030932449878}",20,0,-68.72047045197283,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
158,False,"{'a': 0.5, 'e': 0.9992074342602034}",25,0,-164.90155873379527,"{0: 15, 1: 2, 2: 3, 3: 3, 4: 2}",0
159,False,"{'a': 0.5, 'e': 0.8959709467909631}",20,0,-49.335155491447395,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
160,False,"{'a': 0.5, 'e': 0.5733695234681091}",20,0,-33.87710362244413,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
161,False,"{'a': 0.5, 'e': 0.11038724383904756}",20,3,25.459974590468775,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.37962168297153187}",25,1,-87.27705097611361,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 1}",1
163,False,"{'a': 0.5, 'e': 0.7766859820216312}",20,2,-57.225591747856704,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 1}",1
164,False,"{'a': 0.5, 'e': 0.9835904648022342}",30,0,-173.16209545081472,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 3}",0
165,False,"{'a': 0.5, 'e': 0.9496776978825432}",30,0,5.610353292684387,"{0: 27, 1: 2, 2: 0, 3: 1, 4: 0}",0
166,False,"{'a': 0.5, 'e': 0.6832507093535931}",20,0,-22.950527555586905,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
167,False,"{'a': 0.5, 'e': 0.24954011797333814}",20,0,-6.240996243415449,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
168,False,"{'a': 0.5, 'e': 0.24526659730265726}",20,12,15.712593490434545,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.6800234955873388}",25,7,-18.630682497223358,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.9482869255037094}",35,9,-42.02219141175089,"{0: 16, 1: 5, 2: 5, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.9843766433940419}",20,0,-81.68171050405168,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
172,False,"{'a': 0.5, 'e': 0.7794566276458688}",20,0,-130.9539237198386,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
173,False,"{'a': 0.5, 'e': 0.38369844494974187}",30,12,-16.424905722955046,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
174,False,"{'a': 0.5, 'e': 0.10600249902117563}",30,5,5.1163922267657655,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.569750334265312}",25,3,-74.63084758828796,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 2}",1
176,False,"{'a': 0.5, 'e': 0.8940034169437217}",35,2,-155.96693827505877,"{0: 20, 1: 2, 2: 9, 3: 0, 4: 2}",1
177,False,"{'a': 0.5, 'e': 0.9993732836951247}",30,0,-203.8714730239282,"{0: 15, 1: 4, 2: 8, 3: 0, 4: 3}",0
178,False,"{'a': 0.5, 'e': 0.8600617162362019}",20,0,-81.51043147020215,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
179,False,"{'a': 0.5, 'e': 0.5101770449416689}",20,8,-7.092467631902588,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.03538323999893738}",25,9,26.578506665876816,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.4480736161291701}",20,0,3.074811277412834,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
182,False,"{'a': 0.5, 'e': 0.8218264239151786}",30,19,-58.45271932759723,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 1}",1
